"filename", "language", "Markdown", "HTML", "JavaScript", "YAML", "JSON", "XML", "TypeScript", "MS SQL", "Python", "TypeScript JSX", "PostCSS", "JSON with Comments", "comment", "blank", "total"
"/Users/varunnayak/Downloads/EntrepreneursWebsite/.github/workflows/ci.yml", "YAML", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 43, 38, 298
"/Users/varunnayak/Downloads/EntrepreneursWebsite/.github/workflows/codeql.yml", "YAML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"/Users/varunnayak/Downloads/EntrepreneursWebsite/.github/workflows/prod-smoke.yml", "YAML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 42
"/Users/varunnayak/Downloads/EntrepreneursWebsite/.github/workflows/secret-scan.yml", "YAML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 30
"/Users/varunnayak/Downloads/EntrepreneursWebsite/.github/workflows/zap-baseline.yml", "YAML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 35
"/Users/varunnayak/Downloads/EntrepreneursWebsite/CLAUDE.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/varunnayak/Downloads/EntrepreneursWebsite/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/varunnayak/Downloads/EntrepreneursWebsite/backend/server.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/varunnayak/Downloads/EntrepreneursWebsite/docs/compliance/01-architecture-data-flow-map.md", "Markdown", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 123
"/Users/varunnayak/Downloads/EntrepreneursWebsite/docs/compliance/02-ropa.md", "Markdown", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 131
"/Users/varunnayak/Downloads/EntrepreneursWebsite/docs/compliance/03-third-party-dpa-register.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/varunnayak/Downloads/EntrepreneursWebsite/docs/compliance/04-internal-data-handling-protocol.md", "Markdown", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 87
